相生町	アイオイチョウ
笠柄町	カサガラチョウ
柏原町	カシバラチョウ
鹿島町	カシマチョウ
梶福留	カジフクドメ
春日	カスガ
春日町	カスガチョウ
粕渕	カスブチ
片江	カタエ
片句	カタク
片庭町	カタニワチョウ
片原町	カタハラチョウ
片山	カタヤマ
櫨谷	カタラガイ
桂平町	カツラヒラチョウ
門生町	カドウチョウ
門田	カドタ
金城町	カナギチョウ
金田町	カネタチョウ
金成	カネナリ
金山町	カネヤマチョウ
鹿足郡	カノアシグン
椛谷	カバタニ
釜	カマ
釜浦町	カマウラチョウ
上阿井	カミアイ
上赤名	カミアカナ
上意東	カミイトウ
上宇部尾町	カミウベオチョウ
上塩冶町	カミエンヤチョウ
上大野町	カミオオノチョウ
上岡田町	カミオカダチョウ
上小竹	カミオダケ
上亀谷	カミカメダニ
上河戸	カミカワド
上川戸	カミカワド
上来島	カミキジマ
上来待	カミキマチ
上口羽	カミクチバ
上久野	カミクノ
上熊谷	カミクマタニ
上来原	カミクルバラ
上黒谷町	カミクロダニチョウ
上府町	カミコウチョウ
上講武	カミコウブ
上古和	カミコワ
上坂田町	カミサカダチョウ
上佐陀町	カミサダチョウ
上佐世	カミザセ
上島町	カミシマチョウ
上庄原	カミショウバラ
上十年畑	カミジュウネンバタ
上高尻	カミタカジリ
上田所	カミタドコロ
上直江	カミナオエ
上西	カミニシ
上野	カミノ
上橋波	カミハシナミ
上原	カミハラ
上東川津町	カミヒガシカワツチョウ
上本庄町	カミホンジョウチョウ
上三所	カミミトコロ
上村	カミムラ
上山佐	カミヤマサ
上吉田町	カミヨシダチョウ
神村	カムラ
亀島町	カメシマチョウ
亀尻	カメシリ
亀嵩	カメダケ
亀村	カメムラ
加茂	カモ
鴨倉	カモクラ
加茂町	カモチョウ
加茂中	カモナカ
唐川町	カラカワチョウ
刈畑	カリハタ
川井	カワイ
川合	カワイ
川合町	カワイチョウ
川内	カワウチ
川下	カワクダリ
川越	カワゴエ
河下町	カワシモチョウ
河内	カワチ
川手	カワテ
川戸	カワド
川登町	カワノボリチョウ
川原町	カワハラチョウ
川平町	カワヒラチョウ
河村	カワムラ
川本	カワモト
川本町	カワモトマチ
神田町	カンダチョウ
上津井	カンヅイ
神門町	カンドチョウ
神主	カンヌシ
神庭	カンバ
神庭町	カンバチョウ
神原	カンバラ
神氷	カンピ
学園	ガクエン
学頭	ガクトウ
元屋	ガンヤ
喜阿弥町	キアミチョウ
吉佐町	キサチョウ
木次	キスキ
木次町	キスキチョウ
木須田	キズタ
木田	キタ
北荒木	キタアラキ
北浦	キタウラ
来尾	キタオ
北方	キタガタ
北講武	キタコウブ
北佐木	キタサキ
北田町	キタタマチ
北原	キタハラ
北堀町	キタホリチョウ
北本町	キタホンマチ
北村	キタムラ
木都賀	キツカ
杵築北	キヅキキタ
杵築西	キヅキニシ
杵築東	キヅキヒガシ
杵築南	キヅキミナミ
木部谷	キベダニ
木部町	キベチョウ
給下	キュウシタ
京町	キョウマチ
京覧原	キョランバラ
清井町	キヨイチョウ
清瀬町	キヨセチョウ
清水町	キヨミズチョウ
切川町	キレカワチョウ
久喜	クキ
久喜原	クキバラ
久々茂町	ククモチョウ
日下町	クサカチョウ
草野	クサノ
久佐	クザ
久座仁	クザニ
久城町	クシロチョウ
久代町	クシロチョウ
久白町	クジラチョウ
久多見町	クタミチョウ
口宇賀町	クチウガチョウ
口田儀	クチタギ
久手町	クテチョウ
九重町	クノウチョウ
久原	クバラ
久保	クボ
熊野	クマノ
熊見	クマミ
久見	クミ
久村	クムラ
雲津	クモヅ
国屋町	クヤチョウ
蔵木	クラギ
蔵田	クラタ
久利	クリ
来居	クリイ
久利町	クリチョウ
黒井田町	クロイダチョウ
九郎原	クロウバラ
黒川町	クロカワチョウ
黒沢	クロサワ
黒周町	クロスチョウ
黒田町	クロダチョウ
黒松町	クロマツチョウ
黒目	クロメ
国富町	クンドミチョウ
求院	グイ
毛津	ケヅ
小伊津町	コイヅチョウ
高佐町	コウサチョウ
幸地	コウジ
小路	コウジ
神代	コウジロ
高水	コウズイ
耕田	コウダ
河内	コウチ
河内町	コウチチョウ
古浦	コウラ
郡	コオリ
郡村	コオリムラ
古金崎	コガネザキ
国分町	コクブチョウ
九日市	ココノカイチ
小境町	コザカイチョウ
古志町	コシチョウ
古志原	コシバラ
古城	コジョウ
古曽志町	コソシチョウ
小谷	コタニ
小津町	コヅチョウ
小浜	コハマ
小浜町	コハマチョウ
小林	コバヤシ
小原	コバラ
小馬木	コマキ
小松地	コマツジ
薦澤	コモザワ
薦津町	コモヅチョウ
小屋原	コヤハラ
湖陵町	コリョウチョウ
紺屋町	コンヤマチ
江津市	ゴウツシ
江津町	ゴウツチョウ
雑賀町	サイカマチ
西河内	サイゴウチ
西郷町	サイゴウチョウ
才坂	サイザカ
幸町	サイワイチョウ
幸町	サイワイマチ
小坂	サカ
坂浦町	サカウラチョウ
栄町	サカエマチ
坂田	サカダ
坂本	サカモト
坂本町	サカモトチョウ
崎	サキ
鷺浦	サギウラ
佐草町	サクサチョウ
佐久保町	サクボチョウ
桜江町	サクラエチョウ
酒谷	サケダニ
笹倉	ササクラ
笹山	ササヤマ
差海	サシウミ
佐白	サジロ
佐々布	サソウ
佐田町	サダチョウ
佐陀本郷	サダホンゴウ
佐陀宮内	サダミヤウチ
刺鹿	サツカ
佐津目	サツメ
里方町	サトカタチョウ
里方	サトガタ
里坊	サトボウ
真田	サナダ
実松町	サネマツチョウ
佐野町	サノチョウ
左鐙	サブミ
佐摩	サマ
佐見	サミ
沢田	サワダ
沢町	サワチョウ
三階町	サンガイチョウ
山王寺	サンノウジ
三部	サンブ
三分市	サンブイチ
三瓶町	サンベチョウ
塩田	シオタ
塩谷	シオダニ
塩津町	シオツチョウ
汐手が丘	シオデガオカ
鹿賀	シカガ
志学	シガク
信喜	シキ
志君	シギミ
重富	シゲトミ
獅子	シシ
静間町	シズマチョウ
紙祖	シソ
七条	シチジョウ
七類	シチルイ
志津見	シツミ
篠淵	シノブチ
島田町	シマタチョウ
島根町	シマネチョウ
島の星町	シマノホシチョウ
島村町	シマムラチョウ
清水町	シミズチョウ
注連川	シメガワ
下阿井	シモアイ
下赤名	シモアカナ
下阿用	シモアヨウ
下有福町	シモアリフクチョウ
下意東	シモイトウ
下宇部尾	シモウベオ
下小竹	シモオダケ
下亀谷	シモカメダニ
下河戸	シモカワド
下来島	シモキジマ
下口羽	シモクチバ
下久野	シモクノ
下熊谷	シモクマタニ
下来原	シモクルバラ
下府町	シモコウチョウ
下古志町	シモコシチョウ
下古和	シモコワ
下坂田町	シモサカダチョウ
下佐陀町	シモサダチョウ
下佐世	シモザセ
下十年畑	シモジュウネンバタ
下須	シモス
下高尻	シモタカジリ
下田所	シモタドコロ
下種町	シモタネチョウ
下田原	シモタワラ
下西	シモニシ
下橋波	シモハシナミ
下波田町	シモハダチョウ
下東川津町	シモヒガシカワツチョウ
下本郷町	シモホンゴウチョウ
下山佐	シモヤマサ
下横田	シモヨコタ
下横町	シモヨコチョウ
下吉田町	シモヨシダチョウ
修理免	シュウリメン
出西	シュツサイ
荘成町	ショウジョウチョウ
荘原町	ショウバラマチ
淞北台	ショウホクダイ
昭和	ショウワ
昭和町	ショウワチョウ
白岩町	シライワチョウ
白潟本町	シラカタホンマチ
白上町	シラカミチョウ
白谷	シラタニ
代	シロ
白枝町	シロエダチョウ
白坏	シロツキ
新市	シンイチ
新宮	シングウ
真光町	シンコウチョウ
新雑賀町	シンサイカマチ
宍道	シンジ
宍道町	シンジチョウ
新庄	シンジョウ
新庄町	シンジョウチョウ
新十神町	シントカミチョウ
新町	シンマチ
地頭所	ジトウショ
十文字原	ジュウモンジバラ
城北町	ジョウホクマチ
常楽寺	ジョウラクジ
寺領	ジリョウ
神西沖町	ジンザイオキチョウ
神西新町	ジンザイシンマチ
末次町	スエツグチョウ
末次本町	スエツグホンマチ
須賀	スガ
菅田町	スガタチョウ
須川	スガワ
菅原	スガワラ
杉戸町	スギドチョウ
菅浦	スゲウラ
須子町	スコチョウ
須佐	スサ
薄原町	ススキバラチョウ
須所	スゾ
須田	スタ
砂子町	スナゴチョウ
砂子原	スナゴハラ
周布町	スフチョウ
澄川	スミカワ
隅村町	スミムラチョウ
相撲ケ原	スモウガハラ
須山福冨	スヤマフクドメ
清田	セイダ
清見町	セイミチョウ
瀬戸ケ島町	セトガシマチョウ
瀬戸見町	セトミチョウ
仙道	センドウ
仙山	センヤマ
早田町	ソウダチョウ
惣森	ソウモリ
遅江	ソエ
添谷	ソエダニ
曽木	ソギ
祖式町	ソジキチョウ
袖師町	ソデシチョウ
外園町	ソトゾノチョウ
外中原町	ソトナカバラチョウ
園町	ソノチョウ
染羽町	ソメバチョウ
大社町	タイシャチョウ
大正町	タイショウマチ
高内	タカウチ
高江寸次	タカエスンジ
高尾	タカオ
高岡町	タカオカチョウ
高窪	タカクボ
高田	タカタ
高田町	タカタチョウ
高津	タカツ
高津町	タカツチョウ
高津屋	タカツヤ
高畑	タカハタ
高松町	タカマツチョウ
高見	タカミ
高峯	タカミネ
高山	タカヤマ
多岐	タキ
瀧谷	タキダニ
多伎町	タキチョウ
滝原	タキバラ
瀧元	タキモト
蛸木	タクギ
多久谷町	タクダニチョウ
多久町	タクチョウ
宅野	タクノ
田窪	タクボ
多久和	タクワ
竹崎	タケザキ
竹迫町	タケザコチョウ
武志町	タケシチョウ
武代	タケダイ
多古	タコ
手角町	タスミチョウ
多田	タタ
多沢	タタク
直地	タダチ
多田町	タダチョウ
立河内	タチゴウチ
立戸	タチド
立原	タチバラ
田津	タヅ
竪町	タテマチ
蓼野	タデノ
田中	タナカ
谷住郷	タニジュウゴウ
田二穂	タニホ
溪村	タニムラ
多根	タネ
種村町	タネムラチョウ
田野原	タノハラ
田橋町	タバセチョウ
田町	タマチ
玉造	タマツクリ
玉湯町	タマユチョウ
手結	タユ
田頼町	タヨリチョウ
峠之内	タワノウチ
田和山町	タワヤマチョウ
谷戸	タンド
反辺	タンベ
大西	ダイサイ
大東	ダイトウ
大東下分	ダイトウシモブン
大東町	ダイトウチョウ
大輪町	ダイリンチョウ
知井宮町	チイミヤチョウ
近松	チカマツ
千酌	チクミ
竹矢町	チクヤチョウ
地合町	チゴウチョウ
千田町	チダチョウ
知々井	チチイ
千鳥町	チドリチョウ
千原	チハラ
知夫村	チブムラ
治和町	チワチョウ
都川	ツカワ
都加賀	ツガカ
都賀西	ツガニシ
都賀本郷	ツガホンゴウ
都賀行	ツガユキ
月坂町	ツキザカチョウ
津田町	ツダチョウ
津田町	ツダマチ
土江	ツチエ
土田町	ツチダチョウ
都治町	ツチチョウ
津戸	ツド
常松町	ツネマツチョウ
角井	ツノイ
都野津町	ツノヅチョウ
大坪	ツボ
都万	ツマ
津摩町	ツマチョウ
都茂	ツモ
津和野町	ツワノチョウ
宇津川	ヅカワ
寺田	テラダ
寺津	テラヅ
寺町	テラマチ
天神町	テンジンチョウ
天神町	テンジンマチ
天満町	テンマチョウ
東郷	トウゴウ
東郷町	トウゴウチョウ
遠田町	トウダチョウ
東福町	トウフクチョウ
戸河内	トガウチ
常盤町	トキワチョウ
所原町	トコロハラチョウ
利弘町	トシヒロチョウ
富田	トダ
戸田町	トダチョウ
栃木	トチギ
栃山町	トチヤマチョウ
外ノ浦町	トノウラチョウ
殿河内	トノゴウチ
殿町	トノマチ
富村	トビムラ
冨田	トミタ
富山町	トミヤマチョウ
豊稼	トヨカ
豊田	トヨダ
鳥井	トリイ
鳥井町	トリイチョウ
鳥木町	トリギチョウ
鳥越	トリゴエ
頓原	トンバラ
土井町	ドイチョウ
堂形町	ドウガタチョウ
内美	ナイミ
内村町	ナイムラチョウ
直江町	ナオエマチ
中荒木	ナカアラキ
中海町	ナカウミチョウ
中垣内町	ナカガウチチョウ
中川	ナカガワ
中座	ナカザ
中須町	ナカズチョウ
中曽野	ナカソノ
中津町	ナカヅチョウ
中野	ナカノ
中島町	ナカノシマチョウ
中洲	ナカノス
中野町	ナカノチョウ
中野美保北	ナカノミホキタ
中野美保南	ナカノミホミナミ
中原町	ナカハラチョウ
中町	ナカマチ
中村	ナカムラ
中山	ナカヤマ
中湯石	ナカユイシ
中吉田町	ナカヨシダチョウ
長沢町	ナガサワチョウ
長田	ナガタ
長谷	ナガタニ
長藤	ナガトウ
長浜町	ナガハマチョウ
長久	ナガヒサ
長久町	ナガヒサチョウ
長福	ナガフク
長海町	ナガミチョウ
長見町	ナガミチョウ
長安本郷	ナガヤスホンゴウ
長良	ナガラ
那久	ナグ
那久路	ナグチ
名島	ナシマ
灘分町	ナダブンチョウ
灘町	ナダマチ
七尾町	ナナオチョウ
七日市	ナヌカイチ
鍋石町	ナベイシチョウ
名賀	ナヨシ
苗代田	ナワシロダ
南平台	ナンペイダイ
新屋	ニイヤ
西赤江町	ニシアカエチョウ
西阿用	ニシアヨウ
西荒島町	ニシアラシマチョウ
西生馬町	ニシイクマチョウ
西岩坂	ニシイワサカ
西忌部町	ニシインベチョウ
西尾町	ニシオチョウ
西川津町	ニシカワツチョウ
錦新町	ニシキシンマチ
錦浜	ニシキハマ
錦町	ニシキマチ
西来待	ニシキマチ
西新町	ニシシンマチ
西神西町	ニシジンザイチョウ
西園町	ニシゾノチョウ
西田	ニシタ
西田	ニシダ
西代町	ニシダイチョウ
西谷	ニシダニ
西谷町	ニシダニチョウ
西茶町	ニシチャマチ
西津田	ニシツダ
西長江町	ニシナガエチョウ
西ノ島町	ニシノシマチョウ
西浜佐陀町	ニシハマサダチョウ
西林木町	ニシハヤシギチョウ
西比田	ニシヒダ
西日登	ニシヒノボリ
西平田町	ニシヒラタチョウ
西平原町	ニシヒラバラチョウ
西法吉町	ニシホッキチョウ
西町	ニシマチ
西松井町	ニシマツイチョウ
西村	ニシムラ
西村町	ニシムラチョウ
西持田町	ニシモチダチョウ
西母里	ニシモリ
西嫁島	ニシヨメシマ
仁多群	ニタグン
日原	ニチハラ
二宮町	ニノミヤチョウ
仁夫	ニブ
二部	ニブ
仁万	ニマ
仁摩町	ニマチョウ
入江	ニュウコウ
入南	ニュウナン
仁和寺	ニンナジ
抜月	ヌクツキ
根波別所	ネバベッシヨ
野井	ノイ
野石谷町	ノイシダニチョウ
野方町	ノカタチョウ
野萱	ノガヤ
能義町	ノキチョウ
乃木福富町	ノギフクトミチョウ
野坂	ノサカ
野郷町	ノザトチョウ
乃白町	ノシラチョウ
野尻町	ノジリチョウ
野城	ノジロ
野波	ノナミ
野原町	ノバラチョウ
延里	ノブサト
延野	ノブノ
八神	ハカミ
白石	ハクイシ
伯太町	ハクタチョウ
波佐	ハザ
波子町	ハシチョウ
飯島町	ハシマチョウ
羽代	ハシロ
波多	ハタ
畑田	ハタタ
畑田	ハタダ
畑鵯	ハタヒヨドリ
畑村	ハタムラ
幡屋	ハタヤ
波田町	ハダチョウ
八軒屋町	ハチケンヤマチ
波積町	ハヅミチョウ
花栗	ハナグリ
波入	ハニュウ
波根町	ハネチョウ
波根西	ハネニシ
浜佐田町	ハマサダチョウ
浜田市	ハマダシ
浜町	ハマチョウ
浜乃木	ハマノギ
浜原	ハマハラ
林	ハヤシ
原井町	ハライチョウ
原鹿	ハラシカ
原田	ハラダ
原町	ハラチョウ
原村	ハラムラ
飯原	ハンバラ
稗原町	ヒエバラチョウ
簸川郡	ヒカワグン
斐川町	ヒカワチョウ
東赤江町	ヒガシアカエチョウ
東朝日町	ヒガシアサヒマチ
東阿用	ヒガシアヨウ
東生馬町	ヒガシイクマチョウ
東出雲町	ヒガシイズモチョウ
東岩坂	ヒガシイワサカ
東忌部町	ヒガシインベチョウ
東奥谷町	ヒガシオクダニチョウ
東来待	ヒガシキマチ
東神西町	ヒガシジンザイチョウ
東園町	ヒガシゾノチョウ
東谷	ヒガシダニ
東茶町	ヒガシチャマチ
東津田町	ヒガシツダチョウ
東長江町	ヒガシナガエチョウ
東林木町	ヒガシハヤシギチョウ
東比田	ヒガシヒダ
東日登	ヒガシヒノボリ
東平原	ヒガシヒラバラ
東本町	ヒガシホンマチ
東町	ヒガシマチ
東村	ヒガシムラ
東持田町	ヒガシモチダチョウ
東母里	ヒガシモリ
匹見	ヒキミ
匹見町	ヒキミチョウ
樋口	ヒグチ
菱根	ヒシネ
比敷	ヒジキ
日白町	ヒジラチョウ
左ケ山町	ヒダリガヤマチョウ
比津が丘	ヒツガオカ
比津町	ヒツチョウ
一窪田	ヒトクボタ
日脚町	ヒナシチョウ
日次	ヒナミ
日貫	ヒヌイ
日御碕	ヒノミサキ
姫原町	ヒメバラチョウ
百万騎	ヒャクマンキ
日吉	ヒヨシ
平田	ヒラタ
平田町	ヒラタチョウ
平野町	ヒラノチョウ
平原	ヒラハラ
広石	ヒロイシ
広瀬	ヒロセ
広瀬町	ヒロセチョウ
日和	ヒワ
琵琶町	ビワマチ
深野	フカノ
吹野	フキノ
福井	フクイ
福浦	フクウラ
福川	フクガワ
福田	フクダ
福富町	フクトミチョウ
福富	フクドミ
福原	フクハラ
福原町	フクハラチョウ
福光	フクミツ
伏谷	フシタニ
布志名	フジナ
富士見町	フジミチョウ
布施	フセ
二子	フタゴ
船津町	フナツチョウ
布部	フベ
古市場	フルイチバ
古川町	フルカワチョウ
部栄	ブサカ
平	ヘイ
平成町	ヘイセイチョウ
別所町	ベッシヨチョウ
別府	ベップ
北陵町	ホクリョウチョウ
法吉町	ホッキチョウ
程原	ホドハラ
未明	ホノカ
穂出町	ホノデチョウ
穂日島町	ホヒジマチョウ
母衣町	ホロマチ
本郷	ホンゴウ
本郷町	ホンゴウチョウ
本庄町	ホンジョウチョウ
本俣賀町	ホンマタガチョウ
本町	ホンマチ
本明	ホンミョウ
前原	マエバラ
馬潟町	マカタチョウ
真木	マキ
馬木北町	マキキタマチ
馬木町	マキチョウ
枕木町	マクラギチョウ
枕瀬	マクラセ
馬路	マジ
益田市	マスダシ
鱒渕	マスブチ
町田	マチダ
町帳	マチチョウ
松江市	マツエシ
松尾町	マツオチョウ
松笠	マツカサ
松川町	マツカワチョウ
松代	マツシロ
松原町	マツバラチョウ
松寄下町	マツヨリシモチョウ
馬野原	マノハラ
馬馳	マバセ
丸原	マルバラ
丸茂	マルモ
馬渡	マワタシ
万田町	マンダチョウ
三久須	ミクス
岬町	ミサキマチ
三里	ミサト
美里町	ミサトチョウ
三沢	ミザワ
三代	ミジロ
三隅	ミスミ
三隅町	ミスミチョウ
水分町	ミズワケチョウ
美田	ミタ
三谷	ミタニ
美談町	ミダミチョウ
道川	ミチカワ
三日市	ミッカイチ
御津	ミツ
三絡	ミツガネ
三津町	ミツチョウ
三所	ミトコロ
美都町	ミトチョウ
三刀屋	ミトヤ
三刀屋町	ミトヤチョウ
水上町	ミナカミチョウ
港	ミナト
湊	ミナト
湊浦	ミナトウラ
港町	ミナトマチ
御波	ミナミ
美南	ミナミ
南川上	ミナミカワノボリ
南方	ミナミガタ
南加茂	ミナミガモ
南講武	ミナミコウブ
南佐木	ミナミサキ
南田町	ミナミタマチ
南十神町	ミナミトカミチョウ
南本町	ミナミホンマチ
南町	ミナミマチ
南村	ミナミムラ
三成	ミナリ
美濃地町	ミノジチョウ
三原	ミハラ
美保町	ミホチョウ
美保関	ミホノセキ
美保関町	ミホノセキチョウ
三俣	ミマタ
見々久町	ミミクチョウ
宮内	ミヤウチ
宮内町	ミヤウチチョウ
三宅町	ミヤケチョウ
名分	ミョウブン
民谷	ミンダニ
六日市	ムイカイチ
六重	ムエ
向野田	ムカイノタ
向横田町	ムカイヨコタチョウ
向ヶ丘	ムコウガオカ
向島町	ムコウジマチョウ
虫追町	ムソウチョウ
邑輝	ムラキ
村之郷	ムラノゴウ
室谷	ムロダニ
元浜町	モトハマチョウ
元町	モトマチ
母里	モリ
森谷	モリダニ
森村	モリムラ
森山	モリヤマ
諸喰	モロクイ
八色石	ヤイロイシ
八神	ヤカミ
矢上	ヤカミ
八川	ヤカワ
八雲台	ヤクモダイ
八雲町	ヤクモチョウ
弥栄町	ヤサカチョウ
八島町	ヤシマチョウ
八代	ヤシロ
安来市	ヤスギシ
安来町	ヤスギチョウ
安田	ヤスダ
安田関	ヤスダセキ
安田中	ヤスダナカ
安田宮内	ヤスダミヤウチ
安田山形	ヤスダヤマガタ
安富町	ヤスドミチョウ
矢田町	ヤタチョウ
矢田町	ヤダチョウ
八束郡	ヤツカグン
八束町	ヤツカチョウ
八ツ木	ヤツギ
八戸	ヤト
柳村	ヤナギムラ
簗瀬	ヤナゼ
矢野町	ヤノチョウ
矢原	ヤバラ
矢尾町	ヤビチョウ
山折町	ヤマオリチョウ
山方	ヤマガタ
山口	ヤマグチ
山口町	ヤマグチチョウ
山下	ヤマシタ
山代町	ヤマシロチョウ
山田	ヤマダ
山中	ヤマナカ
山ノ内	ヤマノウチ
山本	ヤマモト
八幡町	ヤワタチョウ
八幡原	ヤワタバラ
油井	ユイ
湯抱	ユガカイ
雪田	ユキタ
行恒	ユキツネ
湯里	ユザト
湯谷	ユダニ
温泉津	ユノツ
温泉津町	ユノツチョウ
湯町	ユマチ
湯村	ユムラ
養賀	ヨウカ
遙堪	ヨウカン
横田	ヨコタ
横田町	ヨコタチョウ
横浜町	ヨコバマチョウ
横屋	ヨコヤ
横山町	ヨコヤマチョウ
吉浦	ヨシウラ
吉岡町	ヨシオカチョウ
吉賀町	ヨシカチョウ
吉地町	ヨシジチョウ
吉田	ヨシダ
吉田町	ヨシダチョウ
吉永	ヨシナガ
吉野	ヨシノ
美野町	ヨシノチョウ
淀原	ヨドハラ
米子町	ヨナゴマチ
嫁島町	ヨメシマチョウ
鹿園寺町	ロクオンジチョウ
